#;NUMERO;STATUS;ED;DESCRICAO;R”TULOS;CARGA ATUAL;SETOR DO RESPONS¡VEL;CAMPUS DO RESPONS¡VEL;CAMPUS DA CARGA;VALOR;NUMERO NOTA FISCAL;DATA DA ENTRADA;DATA DA CARGA;FORNECEDOR;SALA;ESTADO DE CONSERVA«√O;NUMERO DE SERIE
1;445;ativo;123110303;"EM ACO C/4 GAVETAS NA COR VERDE OLIVA.
 [Tipo de Ingresso:Doacao]
 [ARQUIVO- Antigo Classificador:14212426403]
 [Arquivo - Novo Classificador:12311-0303-0004]";SCL-CTI;Andre Luis Tardelli Magalhaes;CTI-SCL;SCL;SCL;0.01;-;19/06/1998 00:00:00;26/04/2016;-;-;N„o aplicar;
2;454;ativo;123110303;"EM ACO C/4 GAVETAS NA COR VERDE OLIVA. FORNECIDO POR: IGPECOGRAPH - MAQ.DEENDERECAR LTDA.
 [Marca/Modelo:IGPECO]
 [Tipo de Ingresso:Doacao]
 [ARQUIVO- Antigo Classificador:14212426403]
 [Arquivo - Novo Classificador:12311-0303-0004]";SCL-DRG;Danilo Augusto Moschetto;CTADS-SCL;SCL;SCL;0.01;-;19/06/1998 00:00:00;26/04/2016;-;B103;N„o aplicar;
3;2990;ativo;123110303;"EM TUBO METALICO CONTRA FERRUGEM ESMALTADO SINTETICO PRETO FOSCO PRAT.MAD.LOURO FORNECIDO POR: PRODEM - JOSE SOARESS/A EQUIP.CIENT.
 [Marca/Modelo:J.S.]
 [Nota Fiscal:4836]
 [Tipo de Ingresso:Doacao]
 [ESTANTE.- Antigo Classificador:14212426420]
 [Estante. - Novo Classificador:12311-0303-0021]";SCL-CLT;Anderson Luis Petroni;CLT-SCL;SCL;SCL;0.01;4836;19/06/1998 00:00:00;26/04/2016;-;-;N„o aplicar;
4;2997;ativo;123110303;"EM TUBO METALICO CONTRA FERRUGEM ESMALTADO SINTETICO PRETO FOSCO PRAT.MAD.LOURO FORNECIDO POR: PRODEM - JOSE SOARESS/A EQUIP.CIENT.
 [Marca/Modelo:J.S.]
 [Nota Fiscal:4836]
 [Tipo de Ingresso:Doacao]
 [ESTANTE.- Antigo Classificador:14212426420]
 [Estante. - Novo Classificador:12311-0303-0021]";SCL-CLT;Anderson Luis Petroni;CLT-SCL;SCL;SCL;0.01;4836;19/06/1998 00:00:00;26/04/2016;-;-;N„o aplicar;
5;3005;ativo;123110303;"EM TUBO METALICO CONTRA FERRUGEM ESMALTADO SINTETICO PRETO FOSCO PRAT.MAD.LOURO FORNECIDO POR: PRODEM - JOSE SOARESS/A EQUIP.CIENT.
 [Marca/Modelo:J.S.]
 [Nota Fiscal:4836]
 [Tipo de Ingresso:Doacao]
 [ESTANTE.- Antigo Classificador:14212426420]
 [Estante. - Novo Classificador:12311-0303-0021]";SCL-CLT;Anderson Luis Petroni;CLT-SCL;SCL;SCL;0.01;4836;19/06/1998 00:00:00;26/04/2016;-;-;N„o aplicar;
6;3031;ativo;123110303;"EM TUBO METALICO CONTRA FERRUGEM ESMALTADO SINTETICO PRETO FOSCO PRAT.MAD.LOURO FORNECIDO POR: PRODEM - JOSE SOARESS/A EQUIP.CIENT.
 [Marca/Modelo:J.S.]
 [Nota Fiscal:4836]
 [Tipo de Ingresso:Doacao]
 [ESTANTE.- Antigo Classificador:14212426420]
 [Estante. - Novo Classificador:12311-0303-0021]";SCL-CLT;Anderson Luis Petroni;CLT-SCL;SCL;SCL;0.01;4836;19/06/1998 00:00:00;26/04/2016;-;-;N„o aplicar;
7;3042;baixado;123110303;"EM TUBO METALICO CONTRA FERRUGEM ESMALTADO SINTETICO PRETO FOSCO PRAT.MAD.LOURO FORNECIDO POR: PRODEM - JOSE SOARESS/A EQUIP.CIENT.
 [Marca/Modelo:J.S.]
 [Nota Fiscal:4836]
 [Tipo de Ingresso:Doacao]
 [ESTANTE.- Antigo Classificador:14212426420]
 [Estante. - Novo Classificador:12311-0303-0021]";-;-;-;-;SCL;0.01;4836;19/06/1998 00:00:00;26/04/2016;-;-;IrreversÌvel;
8;5898;baixado;123110303;"P/TERMINAL C/TECLA DESTAC.S/BAU C/TAMPO DIMENS„O: 72 X100X95 FORNECIDO POR: ACECO -ACES.E EQUIPSCOMPUTADORES LTDA.
 [Marca/Modelo:ACECO]
 [Nota Fiscal:14627]
 [Empenho:391]
 [Tipo de Ingresso:Doacao]
 [MESA- Antigo Classificador:14212426427]
 [Mesa - Novo Classificador:12311-0303-0028]";-;-;-;-;SCL;0.01;14627;18/06/1997 00:00:00;26/04/2016;-;-;IrreversÌvel;
9;9400;ativo;123110303;"DE ACO C/4 GAVETOES, FRENTE EM MADEIRA CEREJEIRA. FORNECIDO POR: VIEMOVEIS COM.MAQS.EMOVEIS P/ESCRIT.LTDA
 [Marca/Modelo:FORTA]
 [Nota Fiscal:132]
 [Empenho:676]
 [Tipo de Ingresso:Doacao]
 [ARQUIVO- Antigo Classificador:14212426403]
 [Arquivo - Novo Classificador:12311-0303-0004]";SCL-DAA;Elisangela Vieira Andrade;DAA-SCL;SCL;SCL;0.01;132;05/08/1988 00:00:00;26/04/2016;-;-;N„o aplicar;
10;9904;ativo;123110303;"P/MICROCOMPUTADOR C/SUPORTE,TECLADO REGU FORNECIDO POR: ACECO PRODUTOS P/ESCRIT.E INFORMAT.LTDA.
 [Marca/Modelo:ACECO]
 [Nota Fiscal:35483]
 [Empenho:1543]
 [Tipo de Ingresso:Doacao]
 [MESA- Antigo Classificador:14212426427]
 [Mesa - Novo Classificador:12311-0303-0028]";SCL-DRG;Rivelli da Silva Pinto;DRG/SCL;SCL;SCL;0.01;35483;29/04/1993 00:00:00;26/04/2016;-;B103;N„o aplicar;
11;10673;ativo;123110303;"EM A«O, NA COR VERDE, COM 6 GAVETAS. FORNECIDO POR: IAA
 [Tipo de Ingresso:Doacao]
 [MESA- Antigo Classificador:14212426427]
 [Mesa - Novo Classificador:12311-0303-0028]";SCL-DRG;Rivelli da Silva Pinto;DRG/SCL;SCL;SCL;0.08;-;20/03/1991 00:00:00;26/04/2016;-;B103;N„o aplicar;
12;12291;ativo;123110303;"MESA EM MADEIRA CEREJEIRA C/06 GRAVETAS. FORNECIDO POR: DESTOK MOVEIS LTDA.
 [Marca/Modelo:BELO]
 [Nota Fiscal:569]
 [Empenho:1846]
 [Tipo de Ingresso:Doacao]
 [MESA- Antigo Classificador:14212426427]
 [Mesa - Novo Classificador:12311-0303-0028]";SCL-DRG;Rivelli da Silva Pinto;DRG/SCL;SCL;SCL;179.00;569;16/01/1996 00:00:00;26/04/2016;-;B103;N„o aplicar;
13;14229;ativo;123110303;"EM MADEIRA CEREJEIRA, COM 3 GAVETAS, ESTRUTURA METALICA PRETO FOSCO. FORNECIDO POR: DESTOK MOVEIS LTDA.
 [Nota Fiscal:164880]
 [Empenho:1668]
 [Tipo de Ingresso:Doacao]
 [MESA- Antigo Classificador:14212426427]
 [Mesa - Novo Classificador:12311-0303-0028]";SCL-CRA;Andre Luiz Maximiano;CSP-SCL;SCL;SCL;150.00;164880;16/12/1997 00:00:00;26/04/2016;-;-;N„o aplicar;
14;14390;ativo;123110303;"MESA EM MADEIRA CEREJEIRA, COM 03   GAVETAS FORNECIDO POR: SYGA
 [Marca/Modelo:BELO]
 [Nota Fiscal:876]
 [Empenho:1773]
 [Tipo de Ingresso:Doacao]
 [MESA- Antigo Classificador:14212426427]
 [Mesa - Novo Classificador:12311-0303-0028]";SCL-DAE;Pedro Northon Nobile;CTADS-SCL;SCL;SCL;111.68;876;22/04/1998 00:00:00;26/04/2016;-;-;N„o aplicar;
15;16763;ativo;123110102;"TELEFONE COR GELO DIMENS„O: 0 A 75 DBA - 6 A 17 DB FORNECIDO POR: ALFA E OMEGA COML E DISTRIBUIDORA LTDA
 [Marca/Modelo:SIEMENS]
 [Nota Fiscal:608]
 [Empenho:900287]
 [Tipo de Ingresso:Doacao]
 [TELEFONE FIXO- Antigo Classificador:14212060607]
 [Telefone Fixo - Novo Classificador:12311-0102-0033]";SCL-CSP;Heber Carrilho Zanelli;CAP-SCL;SCL;SCL;33.20;608;07/06/2002 00:00:00;26/04/2016;-;B103 - CAP;N„o aplicar;
16;16793;baixado;123110102;"TELEFONE COR GELO DIMENS„O: 0 A 75 DBA - 6 A 17 DB FORNECIDO POR: ALFA E OMEGA COML E DISTRIBUIDORA LTDA
 [Marca/Modelo:SIEMENS]
 [Nota Fiscal:608]
 [Empenho:900287]
 [Tipo de Ingresso:Doacao]
 [TELEFONE FIXO- Antigo Classificador:14212060607]
 [Telefone Fixo - Novo Classificador:12311-0102-0033]";-;-;-;-;SCL;33.20;608;07/06/2002 00:00:00;26/04/2016;-;-;IrreversÌvel;
17;22509;baixado;123110303;"COM BRA«O ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 720]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";-;-;-;-;SCL;31.00;2152;17/02/2004 00:00:00;11/12/2018;-;-;IrreversÌvel;
18;22520;baixado;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 421]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";-;-;-;-;SCL;31.00;2152;17/02/2004 00:00:00;11/12/2018;-;-;IrreversÌvel;
19;22546;ativo;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 452]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";GRU-CAE;Mateus Moreira de Souza;CBEAR-SCL;SCL;SCL;31.00;2152;18/02/2004 00:00:00;11/12/2018;-;A108 Ensaios n„o destrutivos / LaboratÛrio;N„o aplicar;
20;22550;ativo;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 453]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";GRU-CAE;Mateus Moreira de Souza;CBEAR-SCL;SCL;SCL;31.00;2152;18/02/2004 00:00:00;11/12/2018;-;-;N„o aplicar;
21;22552;ativo;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 454]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";GRU-CAE;Mateus Moreira de Souza;CBEAR-SCL;SCL;SCL;31.00;2152;18/02/2004 00:00:00;11/12/2018;-;-;N„o aplicar;
22;22573;ativo;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 489]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";GRU-DAE;Mateus Moreira de Souza;CBEAR-SCL;SCL;SCL;31.00;2152;18/02/2004 00:00:00;11/12/2018;-;A108 Ensaios n„o destrutivos / LaboratÛrio;N„o aplicar;
23;22587;baixado;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 499]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";-;-;-;-;SCL;31.00;2152;18/02/2004 00:00:00;11/12/2018;-;-;IrreversÌvel;
24;22618;ativo;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 525]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";GRU-CAE;Mateus Moreira de Souza;CBEAR-SCL;SCL;SCL;31.00;2152;18/02/2004 00:00:00;11/12/2018;-;A108 Ensaios n„o destrutivos / LaboratÛrio;N„o aplicar;
25;22625;baixado;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 518]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";-;-;-;-;SCL;31.00;2152;18/02/2004 00:00:00;11/12/2018;-;-;IrreversÌvel;
26;22627;ativo;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 505]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";GRU-CAE;Mateus Moreira de Souza;CBEAR-SCL;SCL;SCL;31.00;2152;18/02/2004 00:00:00;11/12/2018;-;-;N„o aplicar;
27;22641;ativo;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 535]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";GRU-CAE;Mateus Moreira de Souza;CBEAR-SCL;SCL;SCL;31.00;2152;18/02/2004 00:00:00;11/12/2018;-;-;N„o aplicar;
28;22642;ativo;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 538]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";GRU-CAE;Mateus Moreira de Souza;CBEAR-SCL;SCL;SCL;31.00;2152;18/02/2004 00:00:00;11/12/2018;-;-;N„o aplicar;
29;22643;baixado;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 539]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";-;-;-;-;SCL;31.00;2152;18/02/2004 00:00:00;11/12/2018;-;-;IrreversÌvel;
30;22646;baixado;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 559]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";-;-;-;-;SCL;31.00;2152;18/02/2004 00:00:00;11/12/2018;-;-;IrreversÌvel;
31;22689;baixado;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2182]
 [Numero de serie:PROEP 568]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";-;-;-;-;SCL;31.00;2182;19/02/2004 00:00:00;11/12/2018;-;-;IrreversÌvel;
32;22696;baixado;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 603]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";-;-;-;-;SCL;31.00;2152;19/02/2004 00:00:00;11/12/2018;-;-;IrreversÌvel;
33;22713;baixado;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 604]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";-;-;-;-;SCL;31.00;2152;19/02/2004 00:00:00;11/12/2018;-;-;IrreversÌvel;
34;22720;baixado;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 615]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";-;-;-;-;SCL;31.00;2152;19/02/2004 00:00:00;11/12/2018;-;-;IrreversÌvel;
35;22742;baixado;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 642]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";-;-;-;-;SCL;31.00;2152;19/02/2004 00:00:00;11/12/2018;-;-;IrreversÌvel;
36;22754;ativo;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 704]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";GRU-CAE;Mateus Moreira de Souza;CBEAR-SCL;SCL;SCL;31.00;2152;19/02/2004 00:00:00;11/12/2018;-;A108 Ensaios n„o destrutivos / LaboratÛrio;N„o aplicar;
37;22810;ativo;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 666]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";GRU-DAE;Mateus Moreira de Souza;CBEAR-SCL;SCL;SCL;31.00;2152;19/02/2004 00:00:00;11/12/2018;-;A108 Ensaios n„o destrutivos / LaboratÛrio;N„o aplicar;
38;22820;baixado;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 737]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";-;-;-;-;SCL;31.00;2152;19/02/2004 00:00:00;11/12/2018;-;-;IrreversÌvel;
39;22824;ativo;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 738]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";GRU-CAE;Mateus Moreira de Souza;CBEAR-SCL;SCL;SCL;31.00;2152;19/02/2004 00:00:00;11/12/2018;-;A108 Ensaios n„o destrutivos / LaboratÛrio;N„o aplicar;
40;22831;ativo;123110303;"COM BRA«O, ASSENTO E ENCOSTO REVESTIDA EM COURVIM PRETO. FORNECIDO POR: HARMONIA IND⁄STRIA E COM…RCIO DE M”VEIS
 [Nota Fiscal:2152]
 [Numero de serie:PROEP 731]
 [Tipo de Ingresso:Doacao]
 [CARTEIRA UNIVERSIT¡RIA- Antigo Classificador:14212426416]
 [Carteira Universit·ria - Novo Classificador:12311-0303-0017]";GRU-DAE;Mateus Moreira de Souza;CBEAR-SCL;SCL;SCL;31.00;2152;19/02/2004 00:00:00;11/12/2018;-;A108 Ensaios n„o destrutivos / LaboratÛrio;N„o aplicar;
41;24383;baixado;123110201;"PROCESSADOR 2.4 GHZ, MEMÛRIA RAM 256, DISCO RÌGIDO 40, DISCO FLEXÌVEL 3 1/2"", 1.44 MB, PLACA DE VÌDEO ON BOARD, GABINETE ATX, DRIVE CD/DVD, TECLADO ABNT 2. FORNECIDO POR: IBRACOM INDUSTRIA E COMÈRCIO LTDA.
 [Marca/Modelo:SYNTAX]
 [Nota Fiscal:9649]
 [Numero de serie:039341]
 [Empenho:900806]
 [Tipo de Ingresso:Doacao]
 [MICROCOMPUTADOR- Antigo Classificador:14212350101]
 [Microcomputador - Novo Classificador:12311-0201-0001]";-;-;-;-;SCL;3055.00;9649;28/02/2005 00:00:00;26/04/2016;-;-;IrreversÌvel;
42;24692;ativo;123110303;"EM MADEIRA REVESTIDA EM LAMINADO MEL‚MINICO. FORNECIDO POR: ALF‚NDENGA DO AEROPORTO INTERNACIONAL SP
 [Nota Fiscal:286]
 [Numero de serie:1526538]
 [Tipo de Ingresso:Doacao]
 [MESA- Antigo Classificador:14212426427]
 [Mesa - Novo Classificador:12311-0303-0028]";SCL-CTI;Andre Luis Tardelli Magalhaes;CTI-SCL;SCL;SCL;13.98;286;14/03/2005 00:00:00;26/04/2016;-;-;N„o aplicar;
43;24697;ativo;123110303;"COM TAMPO EM MADEIRA; ESTRUTURA EM MADEIRA; REVESTIDA EM MADEIRA COM 06 GAVETAS. FORNECIDO POR: ALF‚NDENGA DO AEROPORTO INTERNACIONAL SP
 [Nota Fiscal:460]
 [Numero de serie:1524203]
 [Tipo de Ingresso:Doacao]
 [MESA- Antigo Classificador:14212426427]
 [Mesa - Novo Classificador:12311-0303-0028]";SCL-CAE;Joao Luiz Franco;DAE-SCL;SCL;SCL;0.01;460;15/03/2005 00:00:00;26/04/2016;-;Sala C103 - AuditÛrio;N„o aplicar;
44;24750;ativo;123110303;"COM TAMPO EM MADEIRA; ESTRUTURA EM MADEIRA; COM 03 GAVETAS. FORNECIDO POR: ALF‚NDENGA DO AEROPORTO INTERNACIONAL SP
 [Nota Fiscal:104]
 [Numero de serie:1524855]
 [Tipo de Ingresso:Doacao]
 [MESA- Antigo Classificador:14212426427]
 [Mesa - Novo Classificador:12311-0303-0028]";SCL-DRG;Rivelli da Silva Pinto;DRG/SCL;SCL;SCL;0.01;104;16/03/2005 00:00:00;26/04/2016;-;B103;N„o aplicar;
45;24764;ativo;123110303;"COM TAMPO EM MADEIRA; ESTRUTURA EM MADEIRA; COM 03 GAVETAS. FORNECIDO POR: ALF‚NDENGA DO AEROPORTO INTERNACIONAL SP
 [Nota Fiscal:152]
 [Numero de serie:1525289]
 [Tipo de Ingresso:Doacao]
 [MESA- Antigo Classificador:14212426427]
 [Mesa - Novo Classificador:12311-0303-0028]";SCL-CTI;Andre Luis Tardelli Magalhaes;CTI-SCL;SCL;SCL;0.01;152;16/03/2005 00:00:00;26/04/2016;-;-;N„o aplicar;
46;27016;baixado;123110201;"DE 15"" FORNECIDO POR: ASSOCIAÁAO DE PAIS E MESTRES CEFET-SP
 [Nota Fiscal:166]
 [Tipo de Ingresso:Doacao]
 [MONITOR- Antigo Classificador:14212350128]
 [Monitor - Novo Classificador:12311-0201-0024]";-;-;-;-;SCL;243.70;166;12/12/2005 00:00:00;26/04/2016;-;-;IrreversÌvel;
47;29259;baixado;123110201;"PLACA M√E PCCHIPS, PROCESSADOR PENTIUM D 3.0, MEM”RIA 1GB DDR 400, DRIVE 1.44, COMBO LG, GABINETE VCOM SA-70. FORNECIDO POR: A & F RIO CLARO INFORM¡TICA LTDA EPP PROC INC: 23059.001002/2006
 [Marca/Modelo:WISECASE]
 [Nota Fiscal:835]
 [Empenho:900673]
 [Tipo de Ingresso:Compra]
 [MICROCOMPUTADOR- Antigo Classificador:14212350101]
 [Microcomputador - Novo Classificador:12311-0201-0001]";-;-;-;-;SCL;1394.00;835;28/02/2007 00:00:00;26/04/2016;-;-;IrreversÌvel;
48;35872;ativo;123110303;"ADULTO COM ASSENTO E ENCOSTO EM F”RMICA (NA COR BEGE). ESTRUTURA EM TUBO DE A«O MINIMO 7/8, COM PINTURA ELETROST¡STICA OU COM TINTA EPOXI NA COR PRETA. FORNECIDO POR: DICARFLEX-IND. E COM. DE MOVEIS P/ ESC. PROC INC: 23002.001487/2006
 [Marca/Modelo:DICARFLEX]
 [Nota Fiscal:561]
 [Numero de serie:CV904/05-PROEP]
 [Empenho:900536]
 [Tipo de Ingresso:Compra]
 [CADEIRA FIXA- Antigo Classificador:14212426412]
 [Cadeira Fixa - Novo Classificador:12311-0303-0013]";SRT-CAE;Mateus Moreira de Souza;CBEAR-SCL;SCL;SCL;28.21;561;19/12/2006 00:00:00;23/08/2018;-;A206 Desenho tÈcnico mec‚nico;N„o aplicar;
